date_of_report,report_title,overall_theme_tags,scam_category,blockchain,blockchain_id,technology_used,report_description,report_related_links,report_related_image_link,report_url,report_extraction_timestamp
2024-03-11,"Kickstarter's bizarre ""pivot to blockchain"" spurred by secret $100 million Andreessen Horowitz investment","Bad idea, Shady business",,Celo,[42220],,"Web3: a technology so promising you can't even pay a company $100 million to use it. Crowdfunding website Kickstarter surprised and dismayed many of its users in December 2021 when they announced they would be moving the product to the blockchain in December 2021 for... reasons. That blockchain would just so happen to be the relatively unknown Andreessen Horowitz-backed Celo blockchain. ""How this will actually work, beyond Kickstarter being able to yell 'blockchain' like a spell to summon investors ... is unclear,"" wrote Tom McKay at Gizmodo . He probably didn't realize how right he was, but now it's been revealed that KickStarter was able to land a $100 million investment from Andreessen Horowitz with handwavy proclamations about the blockchain that its own COO didn't seem to quite understand . The company seems to have since given up on its blockchain ambitions — in no small part thanks to user revolt. It seems that $100 million windfall didn't include any terms actually requiring Kickstarter to follow through.","[""https://twitter.com/web3isgreat/status/1767347151011549200"", ""https://fortune.com/crypto/2024/03/11/kickstarter-blockchain-a16z-crypto-secret-investment-chris-dixon/"", ""https://web.archive.org/web/20240311163832/https://fortune.com/crypto/2024/03/11/kickstarter-blockchain-a16z-crypto-secret-investment-chris-dixon/"", ""https://www.web3isgoinggreat.com/?id=kickstarter-announces-it-will-abandon-its-current-platform-for-blockchain""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/kickstarter_300.webp,https://www.web3isgoinggreat.com/?id=kickstarters-a16z-induced-pivot-to-blockchain,2026-07-22 20:33:59
2022-10-18,Moola Market exploited for $8.4 million,Hack or scam,Hack,Celo,[42220],"DeFi, lending","The Celo-based borrowing and lending platform, Moola Market, suffered a major exploit when an attacker manipulated collateral prices to steal a collection of assets notionally worth around $8.4 million. After taking a loan of $MOO tokens on the platform, the attacker manipulated the price of those tokens to borrow all other tokens available on the lending protocol. The project dashboard currently shows 100% utilization, because the attacker emptied all funds that were available: a mix of $CELO, $cEUR, $MOO, and $cUSD that amount to around $8.4 million. This attack was executed similarly to the Mango Markets exploit a week prior. Moola Market tweeted that they had ""contacted law enforcement and taken steps to make it difficult to liquidate the funds. We are willing to negotiate a bounty payment in exchange for returning the funds within the next 24 hours."" The attacker did eventually return 93% of the funds, keeping the remaining $588,000 as a ""bug bounty"".","[""https://twitter.com/web3isgreat/status/1582458322073968640"", ""https://twitter.com/Moola_Market/status/1582432297835368449"", ""https://twitter.com/FrankResearcher/status/1582448720985014273"", ""https://www.web3isgoinggreat.com/?id=mango-markets-suffers-hack""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/moola_300.webp,https://www.web3isgoinggreat.com/?id=moola-market-exploited-for-8-4-million,2026-07-22 20:33:59
2022-05-24,The WeWork founders are starting a carbon credit crypto company and they already raised $70 million in funding,Bad idea,,Celo,[42220],,"Adam and Rebekah Neumann, the duo behind the WeWork coworking space company that imploded spectacularly in 2019 , have re-emerged to start a company called Flowcarbon. The company intends to ""tokenize carbon credits"" — which they're calling ""Goddess Nature Tokens"" — and sell them to companies hoping to green up their image. The need for a blockchain is unclear. The company has already raised $70 million in token sales and a Series A funding round led by Andreessen Horowitz (aka a16z), which seems like a startling amount of money to give to someone who resigned from his previous company amidst accusations of some serious self-dealing and the creation of toxic corporate culture.","[""https://twitter.com/web3isgreat/status/1529217869724131328"", ""https://www.theguardian.com/business/2019/dec/20/why-wework-went-wrong"", ""https://techcrunch.com/2022/05/24/flowcarbon-wework-adam-neumann-blockchain-crypto-carbon-credit-startup-raises-funding-from-a16z/"", ""https://www.flowcarbon.com/knowcarbon/flowcarbon-raises-70m-to-tokenize-carbon-credits-and-build-an-on-chain-market""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/flowcarbon_300.webp,https://www.web3isgoinggreat.com/?id=wework-founders-are-starting-a-carbon-credit-crypto-company-and-they-already-raised-70-million-in-funding,2026-07-22 20:33:59
2022-02-18,"Kickstarter says they ""won't make changes to Kickstarter without you"" after blockchain backlash... but they will continue with blockchain plans","Bad idea, Hmm",,Celo,[42220],,"Kickstarter announced back in December that they planned to completely rebuild their product on a blockchain. It was quickly met with resistance from the community, including some big-name users announcing plans to stop using the service. Two months later, the company published an article titled ""We Won't Make Changes to Kickstarter Without You"". Despite the title, they did not appear to waver on the blockchain plans, and committed only to ""not mov[ing] Kickstarter.com onto the new protocol unless it has been tested"" and to gathering ""input"" while they move forward with the plans. Kickstarter's COO, Sean Leow, did an interview with The Beat to discuss the announcement. He seemed to be a little bit confused on the whole concept throughout, and seemed to believe that ""open source"" is some sort of competing idea to blockchains. At one point he stated, ""We believe that that data can be structured in a way through a blockchain where it ... can move in a much more efficient and effective way between services ... in a way that open source doesn't allow"". Later in the interview he spoke about governance, saying, ""our understanding is that [governance] is done more effectively with blockchain then with open-source.""","[""https://twitter.com/web3isgreat/status/1494832241402421253"", ""https://www.comicsbeat.com/kickstarter-blockchain-controversy-interview/"", ""https://www.engadget.com/kickstarter-decentralized-crowdfunding-protocol-explained-221717021.html"", ""https://www.kickstarter.com/articles/we-won-t-make-changes-to-kickstarter-without-you"", ""https://www.web3isgoinggreat.com/?id=2021-12-08-1""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/kickstarter_300.webp,https://www.web3isgoinggreat.com/?id=kickstarter-continues-with-blockchain-plans,2026-07-22 20:33:59
2021-12-08,Crowdfunding website Kickstarter announces it will abandon its current platform in favor of a blockchain implementation,Bad idea,,Celo,[42220],dApps,"Kickstarter announced they have decided to create a decentralized version of their platform, and to create it on the Celo blockchain. This was not entirely well-received, and some major users strongly opposed the idea. Per Gizmodo , ""How this will actually work, beyond Kickstarter being able to yell 'blockchain' like a spell to summon investors or maybe getting a cut of every project that runs on the resulting protocol, is unclear.""","[""https://techcrunch.com/2021/12/08/kickstarter-plans-to-move-its-crowdfunding-platform-to-the-blockchain/"", ""https://cryptobriefing.com/kickstarter-faces-backlash-over-partnership-with-celo/"", ""https://gizmodo.com/kickstarter-is-putting-kickstarter-on-the-blockchain-1848187305"", ""https://www.kickstarter.com/articles/the-future-of-crowdfunding-creative-projects""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/kickstarter_300.webp,https://www.web3isgoinggreat.com/?id=kickstarter-announces-it-will-abandon-its-current-platform-for-blockchain,2026-07-22 20:33:59
