date_of_report,report_title,overall_theme_tags,scam_category,blockchain,blockchain_id,technology_used,report_description,report_related_links,report_related_image_link,report_url,report_extraction_timestamp
2026-07-20,Wanchain bridge on Cardano exploited for more than $9 million,Hack or scam,Bridge Exploit,Cardano,[],,"An attacker exploited the Wanchain bridge , stealing 515 million NIGHT tokens that had been bridged from Cardano to BNB. The NIGHT token belongs to Midnight, a privacy-focused blockchain linked to Cardano. The stolen tokens were priced at $9 million to $10 million at the time of the theft, although the massive outflow of tokens briefly caused the NIGHT token price to drop by about 43%.","[""https://x.com/Phalcon_xyz/status/2079443108027421183"", ""https://x.com/midnightfdn/status/2079370237334413522""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/wanchain_300.webp,https://www.web3isgoinggreat.com/?id=cardano-midnight-bridge-exploit,2026-07-23 05:35:42
2026-06-23,Users of the SecondFi Cardano wallet lose $2.4 million in series of hacks,"Collapse, Hack or scam",Hack,Cardano,[],,"Users of the Cardano wallet SecondFi (formerly Yoroi) have lost a cumulative 16 million ADA (~$2.4 million) across three attacks targeting a vulnerability in the project's wallet generation code. After the attacks commenced, SecondFi ""rescued"" another 129 million ADA (~$19.4 million) by moving the assets to a third party entity. They announced that an external accounting firm would verify the funds and process user claims. About a month after the hack, SecondFi announced it would shut down operations.","[""https://www.coindesk.com/business/2026/06/24/secondfi-loses-usd2-4-million-in-cardano-wallet-exploit-with-up-to-usd20-million-at-risk"", ""https://web.archive.org/web/20260625133019/https://www.coindesk.com/business/2026/06/24/secondfi-loses-usd2-4-million-in-cardano-wallet-exploit-with-up-to-usd20-million-at-risk"", ""https://x.com/secondfiapp/status/2069380358291001425""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/secondfi_300.webp,https://www.web3isgoinggreat.com/?id=secondfi-exploit,2026-07-23 05:35:42
2025-11-21,Cardano founder calls the FBI on a user who says his AI mistake caused a chainsplit,"Bug, Law, Yikes",,Cardano,[],,"On November 21, the Cardano blockchain suffered a major chainsplit after someone created a transaction that exploited an old bug in Cardano node software, causing the chain to split . The person who submitted the transaction fessed up on Twitter, writing, ""It started off as a 'let's see if I can reproduce the bad transaction' personal challenge and then I was dumb enough to rely on AI's instructions on how to block all traffic in/out of my Linux server without properly testing it on testnet first, and then watched in horror as the last block time on explorers froze."" Charles Hoskinson, the founder of Cardano, responded with a tweet boasting about how quickly the chain recovered from the catastrophic split, then accused the person of acting maliciously. ""It was absolutely personal"", Hoskinson wrote, adding that the person's public version of events was merely him ""trying to walk it back because he knows the FBI is already involved"". Hoskinson added, ""There was a premeditated attack from a disgruntled [single pool operator] who spent months in the Fake Fred discord actively looking at ways to harm the brand and reputation of IOG. He targeted my personal pool and it resulted in disruption of the entire cardano network."" Hoskinson's decision to involve the FBI horrified some onlookers, including one other engineer at the company who publicly quit after the incident. They wrote, ""I've fucked up pen testing in a major way once. I've seen my colleagues do the same. I didn't realize there was a risk of getting raided by the authorities because of that + saying mean things on the Internet.""","[""https://twitter.com/web3isgreat/status/1992688370397417750"", ""https://x.com/KpunToN00b/status/1991937269910139194"", ""https://x.com/IOHK_Charles/status/1991947634030883236"", ""https://x.com/IOHK_Charles/status/1991962518961692880""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/cardano_300.webp,https://www.web3isgoinggreat.com/?id=cardano-founder-calls-the-fbi,2026-07-23 05:35:42
2025-11-16,Cardano holder loses $6 million to slippage,Bummer,,Cardano,[],,"A holder of around 14.4 million ADA (~$6.9 million), the token for the Cardano network, made an expensive error when attempting to swap the tokens for a stablecoin . Because the stablecoin they were looking to buy is lightly used and has only around $10.6 million tokens in circulation, an attempt to purchase millions of the tokens on the market caused the dollar - pegged stablecoin's price to spike to around $1.26. The resulting slippage meant that the trader spent their roughly $6.9 million in tokens to receive a little less than $850,000 in the USDA stablecoin, meaning the trader essentially threw away $6 million. Observers have questioned what happened. It's possible that the holder, who had not been active on-chain since 2020, was simply unaware of the slippage risk. It's also possible that it was a ""fat-finger"" trade — that the trader accidentally selected the wrong stablecoin from a list of similarly named options, some of which could have more easily absorbed a trade of that size.","[""https://twitter.com/web3isgreat/status/1990503550019907684"", ""https://www.coindesk.com/markets/2025/11/17/fat-finger-fail-cardano-whale-torches-usd6m-after-hitting-illiquid-usda-pool"", ""https://web.archive.org/web/20251117193201/https://www.coindesk.com/markets/2025/11/17/fat-finger-fail-cardano-whale-torches-usd6m-after-hitting-illiquid-usda-pool""]",,https://www.web3isgoinggreat.com/?id=cardano-holder-loses-6-million-to-slippage,2026-07-23 05:35:42
2023-06-09,"Robinhood to delist Solana, Cardano, Polygon tokens after SEC describes them as securities",Law,,"Cardano, Polygon, Solana",[137],,"Robinhood announced that its crypto exchange will delist the tokens for Solana (SOL), Cardano (ADA), and Polygon (MATIC) after they were described as unregistered securities in lawsuits against Binance and Coinbase . They seem to be the first exchange serving US customers to delist tokens mentioned by the SEC in the lawsuits. On June 12, they were followed by eToro US, who delisted ALGO, MANA, DASH, and MATIC. On June 16, Bakkt delisted SOL, ADA, and MATIC. While simply claiming in a lawsuit that a crypto token is a security does not necessarily constitute a firm decision that it is so, this has been enough in the past to lead exchanges to remove token listings. The 2020 lawsuit against Ripple and its XRP token led to the token widely being delisted from exchanges serving US customers.","[""https://twitter.com/web3isgreat/status/1667588300645756928"", ""https://fortune.com/crypto/2023/06/09/robinhood-delists-solana-sol-cardano-ada-polygon-matic-sec-lawsuits-securities/"", ""https://www.web3isgoinggreat.com/?id=sec-files-complaint-against-binance""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/robinhood_300.webp,https://www.web3isgoinggreat.com/?id=robinhood-to-delist-solana-cardano-polygon-tokens,2026-07-23 05:35:42
2023-06-05,SEC files complaint against Binance,Law,,"BNB Chain, Cardano, Cosmos, Polygon, Solana","[56, 137]",,"The SEC has filed a complaint against Binance, various related companies, and Binance CEO Changpeng ""CZ"" Zhao. They allege that the company has been acting with ""blatant disregard"" of US securities laws through their operation of unregistered trading platforms, have performed multiple offers of unregistered securities and investment schemes, and have defrauded investors through material misstatements around supposed controls for manipulative trading activity, such as wash trading , on the Binance platforms. The complaint echoes some of the allegations made by the CFTC in a March lawsuit , including that Binance.US was primarily a front for Binance's international platform that was used to try to distract US regulators. However, it also goes farther by adding allegations around Binance's lack of controls around market manipulation, which the SEC alleges contradict public statements by Binance that they had sophisticated programs to prevent wash trading and other manipulative actions. The SEC even claims that the CZ-owned and -operated market maker Sigma Chain was engaged in substantial wash trading on the platform. The SEC lawsuit was also a bit of a bombshell in its naming of some major cryptocurrencies as securities: SOL, ADA, MATIC, FIL, ATOM, SAND, MANA, ALGO, AXS, and COTI. These are the crypto assets associated, respectively, with the Solana, Cardano, Polygon, Filecoin, [d] Cosmos, The Sandbox , Decentraland , Algorand, Axie Infinity , and Coti projects.","[""https://twitter.com/web3isgreat/status/1665799853677375491"", ""https://www.mollywhite.net/crypto-disclosures/"", ""https://storage.courtlistener.com/recap/gov.uscourts.dcd.256060/gov.uscourts.dcd.256060.1.0.pdf"", ""https://www.web3isgoinggreat.com/?id=cftc-sues-binance-and-ceo-changpeng-zhao""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/binance_300.webp,https://www.web3isgoinggreat.com/?id=sec-files-complaint-against-binance,2026-07-23 05:35:42
