date_of_report,report_title,overall_theme_tags,scam_category,blockchain,blockchain_id,technology_used,report_description,report_related_links,report_related_image_link,report_url,report_extraction_timestamp
2021-12-21,Funko Pop launches Bob Ross NFTs in apparent disregard of Ross's wishes,Bad idea,,WAX,[],NFT,"Because apparently the vinyl figurines known as Funko Pops aren't a sufficiently useless collectible, Funko decided to get in on the NFT craze by releasing a Bob Ross ""Digital Pop"". Ross made major changes to his will just before his death to try to prevent people from merchandising his legacy, and many fans were outraged by the NFT project, which they believe is exactly the sort of thing he was trying to prevent from happening.","[""https://kotaku.com/bob-ross-died-fighting-profit-driven-vultures-only-for-1848220722"", ""https://gizmodo.com/the-nft-ghouls-are-going-full-mask-off-with-stan-lee-an-1848222829""]",https://primary-cdn.web3isgoinggreat.com/entryImages/resized/bobross_300.webp,https://www.web3isgoinggreat.com/?id=bob-ross-funko-pop-nft,2026-07-23 05:39:49
2021-10-28,A much-hyped Miss Universe NFT project turns out to be a rugpull,Rug pull,Rug Pull,WAX,[],NFT,"Miss Universe and its models, the @nft Instagram, and Steve Harvey all got in on the advertisements for the Miss Universe NFT project, which Miss Universe presenter Paula Shugart said was ""going to be the first brand in the NFT space that is about women, about women's empowerment, and embracing the technology, and moving forward. I love it; this is the first one that is away from other more male-oriented spaces."" Buyers were offered signed prints, virtual meetings with the models, exclusive events, and a chance to win $50,000. None of this materialized, the Miss Universe Instagram account was deleted, and NFT owners who asked questions began to be banned from the project's Discord channel.","[""https://cointelegraph.com/news/beware-of-sophisticated-scams-and-rug-pulls-as-thugs-target-crypto-users"", ""https://twitter.com/zachxbt/status/1545426491340689408""]",https://primary-cdn.web3isgoinggreat.com/entryImages/resized/missuniverse_300.webp,https://www.web3isgoinggreat.com/?id=miss-universe-nft-project-rug-pulls,2026-07-23 05:39:49
