date,title,theme_tags,type_of_malicious_activity,blockchain,tech,description,links,image_link,article_url,extraction_timestamp
2026-04-21,"Volo Protocol exploited for $3.5 million, most recovered",Hack or scam,Unclear from text — review manually,Sui,DeFi,"The Sui-based Volo Protocol defi yield platform was exploited for around $3.5 million after an attacker targeted three vaults holding w BTC, XAUm (a tokenized gold asset), and the USDC stablecoin. Volo says they have frozen or recovered all but around $60,000. They have also said they are ""prepared to absorb this loss"", rather than passing losses along to their users.","[""https://x.com/volo_sui/status/2046715584201511351"", ""https://x.com/volo_sui/status/2049025687856501225""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/volo_300.webp,https://www.web3isgoinggreat.com/?id=volo-protocol-exploited-for-3-5-million-most-recovered,2026-06-21 01:40:45
2025-09-07,Nemo Protocol exploited for $2.4 million,Hack or scam,Unclear from text — review manually,Sui,DeFi,"The Nemo Protocol on the Sui blockchain suffered a $2.4 million exploit. The defi yield infrastructure protocol acknowledged the theft shortly after, explaining they had paused the protocol smart contracts as they investigated the theft. It appears the thief was able to manipulate a price oracle, siphoning $2.4 million in USDC from the project. They then bridged the funds from Arbitrum to Ethereum.","[""https://twitter.com/web3isgreat/status/1965091423868391507"", ""https://www.theblock.co/post/369766/sui-nemo-protocol-exploit"", ""https://web.archive.org/web/20250908163145/https://www.theblock.co/post/369766/sui-nemo-protocol-exploit""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/nemo-protocol_300.webp,https://www.web3isgoinggreat.com/?id=nemo-protocol-exploit,2026-06-21 01:40:45
2025-05-22,"Cetus DEX exploited for $223 million; some funds ""paused""",Hack or scam,Unclear from text — review manually,Sui,DeFi,"An attacker stole $223 million from the Sui-based Cetus Protocol. The project announced shortly after that $163 million of the funds had been frozen , leaving around $60 million unaccounted for. This led some to question how decentralized the project truly is if the funds can be frozen in such a way. Sui validators later voted to return the frozen assets to the Cetus project. Cetus also announced that users would be fully compensated, and that they would cover the $60 million gap with project treasury funds and a loan from the Sui Foundation.","[""https://twitter.com/web3isgreat/status/1925580168279564333"", ""https://x.com/CetusProtocol/status/1925567348586815622""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/cetus_300.webp,https://www.web3isgoinggreat.com/?id=cetus-exploit,2026-06-21 01:40:45
2023-10-16,South Korean regulators allege Sui Foundation manipulated markets,Shady business,,Sui,,"A lawmaker in South Korea has alleged that the Sui Foundation has engaged in market manipulation to enrich themselves. The South Korean Financial Supervisory Service reportedly launched an investigation into the distribution of the SUI token following Representative Min Byeong-deok's allegations, intending to determine whether there was truth to his claims that they had paid themselves interest by staking tokens that should have been left untouched in the non-circulating supply. The Sui Foundation has disputed the allegations on Twitter, calling them ""unfounded and materially false"".","[""https://twitter.com/web3isgreat/status/1715472588640579694"", ""https://cointelegraph.com/news/sui-token-struggles-regain-foundation-allegation-south-korea"", ""https://web.archive.org/web/20231020205639/https://cointelegraph.com/news/sui-token-struggles-regain-foundation-allegation-south-korea"", ""https://twitter.com/SuiFoundation/status/1714349720187859021?s=20""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/sui_300.webp,https://www.web3isgoinggreat.com/?id=south-korean-regulators-allege-sui-foundation-manipulated-markets,2026-06-21 01:40:45
2023-05-01,CZ smacks down Justin Sun for trying to game SUI airdrop,Shady business,,Sui,,"""Binance LaunchPool are meant as air drops for our retail users, not just for a few whales ,"" tweeted Changpeng ""CZ"" Zhao, the CEO of Binance, after seeing an alert showing that Justin Sun had transferred $56 million to Binance. ""LaunchPool"" is a process in which Binance users can farm various tokens — now including SUI — and receive rewards. ""Our team told Justin, if he uses any of these to grab the LaunchPool Sui token, we will 'take action against it'. SMH."" wrote CZ. Indeed, it later turned out that Sun's team had farmed around 279,000 SUI (SUI does not yet have a reliable dollar price because it is set to launch later this month). Sun blamed the event on a TUSD market maker, writing, ""Regrettably, some of our team members were not fully aware of the intended purpose for these funds and inadvertently used a portion of them to participate in exchange campaigns. Upon realizing this error, we immediately contacted the exchange team and arranged for a full refund of the funds."" Those replying to his comment seemed more than a little skeptical that the incident was truly a mistake.","[""https://twitter.com/web3isgreat/status/1653194421414899714"", ""https://twitter.com/cz_binance/status/1652949031524376579"", ""https://twitter.com/justinsuntron/status/1652954501102592000""]",https://primary-cdn.web3isgoinggreat.com/entryImages/resized/justin-sun_300.webp,https://www.web3isgoinggreat.com/?id=cz-smacks-down-justin-sun-for-trying-to-game-sui-airdrop,2026-06-21 01:40:45
