date,title,theme_tags,type_of_malicious_activity,blockchain,tech,description,links,image_link,article_url,extraction_timestamp
2026-01-10,Crypto holder loses $283 million to scammer impersonating wallet support,Hack or scam,Social Engineering,"Bitcoin, Litecoin, Monero",,"A crypto holder has lost $282 million in bitcoin and litecoin after a scammer impersonating a customer support employee for the Trezor hardware wallet manufacturer successfully convinced them into revealing their seed phrase . After gaining access to the assets, they quickly swapped them to the Monero privacycoin . The volume of assets was so large that the Monero price spiked as the scammer laundered the finds. The scammer also swapped assets using the THORChain project, which boasted on social media about the ""World record speedrun. ⚡️"" (presumably without realizing they were bragging about a thief using their project to launder money). Around $700,000 of the stolen assets were frozen thanks to intervention by a security firm called ZeroShadow, although this represents only 0.2% of the total loss.","[""https://x.com/zachxbt/status/2012212936735912351"", ""https://x.com/0xQuit/status/2012280906615079110""]",,https://www.web3isgoinggreat.com/?id=trezor-support-scam,2026-06-21 01:35:20
2023-11-14,"Up to $1 billion stored in early Bitcoin wallets may be at risk due to ""Randstorm"" vulnerability",Bug,,"Bitcoin, Litecoin",,"While trying to help a Bitcoin holder who lost their password, researchers at Unciphered discovered a major flaw in the way early Bitcoin wallets had been created. Thanks to a flaw in an open source software library called BitcoinJS, which was later incorporated into many wallet software projects to generate Bitcoin wallets with random keys, wallets created prior to 2016 may be vulnerable to cracking. Wallets created before March 2012 are at particular risk, as the roughly 6% of those that are vulnerable (and which hold a combined ~55,000 BTC, or ~$100 million) could be cracked without requiring major computing resources. Unciphered worked with various wallet providers to contact people whose wallets may be vulnerable, though ultimately it is up to those wallet holders to secure their funds by creating new wallets and transferring their tokens. Unciphered also noted that some Dogecoin, Litecoin, and Zcash wallets may be vulnerable due to shared code.","[""https://twitter.com/web3isgreat/status/1724506810172805416"", ""https://www.unciphered.com/blog/randstorm-you-cant-patch-a-house-of-cards"", ""https://web.archive.org/web/20231114173241/https://www.unciphered.com/blog/randstorm-you-cant-patch-a-house-of-cards"", ""https://www.washingtonpost.com/technology/2023/11/14/bitcoin-wallet-passcode-flaw/"", ""https://web.archive.org/web/20231114135351/https://www.washingtonpost.com/technology/2023/11/14/bitcoin-wallet-passcode-flaw/""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/randstorm_300.webp,https://www.web3isgoinggreat.com/?id=randstorm,2026-06-21 01:35:20
2022-03-09,A trader ends up owing $3600 after an exchange mistakenly deposits 10 Bitcoin in their account,"Bummer, Shady business",,"Bitcoin, Litecoin",,"Something apparently went terribly wrong on the trading platform that Twitter user rifftrader was using (though they didn't say which) when 10 BTC (~$385,000) was erroneously deposited to their account. The trader, who was expecting a transfer of $24 USD for Litecoin (LTC) that they had initiated to go through, didn't initially notice that the amount was in BTC when they subsequently converted it to USD. However, when they suddenly saw hundreds of thousands of dollars in the account, they realized what had happened. Not wishing to spend money that wasn't theirs, the trader transferred it back into BTC and contacted their exchange's support email. The exchange subsequently withdrew the erroneously-deposited funds from the trader's account. However, because the trader incurred a cost converting the BTC to and from USD, only 9.8752 BTC went back to the exchange. The exchange then proceeded to demand the trader pay the difference — around $3,600 — and accused them of ""trad[ing] on those funds which did not belong to you"". The email demanded payment by the following day, and the exchange threatened to send the case to a debt collector the trader didn't send the money.","[""https://twitter.com/web3isgreat/status/1502056823247056914"", ""https://twitter.com/rifftrader/status/1501734115007213570"", ""https://web3isgoinggreat.com/notes/2022-03-09-2""]",https://primary-cdn.web3isgoinggreat.com/entryImages/resized/rifftrader_300.webp,https://www.web3isgoinggreat.com/?id=trader-ends-up-owing-3600-after-an-exchange-mistakenly-deposits-10-bitcoin-in-their-account,2026-06-21 01:35:20
2021-09-13,Fake press release dupes media outlets into reporting that Walmart will begin accepting Litecoin,Reporting,,Litecoin,,A press release distributed via GlobeNewswire claimed Walmart was announcing a partnership with Litecoin to begin accepting the cryptocurrency as a payment method. The value of Litecoin spiked before tumbling after Walmart said the announcement was fake.,"[""https://mashable.com/article/litecoin-walmart-fake-news""]",https://primary-cdn.web3isgoinggreat.com/entryImages/resized/walmart-litecoin_300.webp,https://www.web3isgoinggreat.com/?id=fake-walmart-press-release-dupes-media-outlets,2026-06-21 01:35:20
