date_of_report,report_title,overall_theme_tags,scam_category,blockchain,blockchain_id,technology_used,report_description,report_related_links,report_related_image_link,report_url,report_extraction_timestamp
2025-12-27,Flow blockchain exploited for $3.9 million,Hack or scam,Hack,Flow,[],,"The Flow blockchain suffered an exploit in which an attacker was able to mint a large number of wrapped FLOW tokens, which they then swapped to tokens on other blockchains. Ultimately around $3.9 million was stolen, and the FLOW token dramatically plunged in price. Some crypto exchanges, such as Upbit and Bithumb, halted withdrawals and deposits for FLOW after the exploit was discovered. Flow later confirmed the exploit, and said that validators ""executed a coordinated halt"" of the network to shut down the attack.","[""https://twitter.com/web3isgreat/status/2005053512187609572"", ""https://www.theblock.co/post/383796/flow-blockchain-probes-security-incident-as-flow-token-plunges-over-40""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/flow_300.webp,https://www.web3isgoinggreat.com/?id=flow-infinite-mint-exploit,2026-07-23 05:39:08
2022-10-11,CNN accused of rug pull after ditching their Vault NFT project,"Bad idea, Rug pull",Rug Pull,Flow,[],NFT,"In June 2021, CNN launched ""Vault"": a project to ""make moments from history available for purchase"". The project involved minting as NFTs various clips of CNN footage and photographs from their archives, such as CNN's predictions that Bush and Obama would win their presidential elections, or ""War Notes"": a series of photos and accompanying handwritten notes from Ukrainians impacted by the Russian war on Ukraine. On October 11, CNN announced they would ""no longer be developing or maintaining this [Vault] community"". Although CNN claimed in their shutdown announcement that ""Vault was originally launched as a 6-week experiment"", CNN had not mentioned that the project was an experiment that was expected to possibly end. As recently as last month, Vault had been teasing upcoming events scheduled around election day in November, and encouraging users to buy more Vault NFTs to access the upcoming drops. As an apparent attempt to placate angry users worried that the value of their NFTs might drop, CNN promised to return ""either FLOW tokens or stablecoins "" for ""roughly 20% of the original mint price"". However, the project is built on the Flow blockchain, where users can only withdraw stablecoins $10 at a time — and with a $4 fee on each withdrawal. Some angry users in the project's Discord channel threatened legal action, claiming that CNN had rug pulled .","[""https://twitter.com/web3isgreat/status/1579917407770271745"", ""https://twitter.com/vaultbycnn/status/1579562628493774851"", ""https://www.theverge.com/2022/10/10/23397766/vault-by-cnn-nft-shutdown-flow-rebate-rugpull"", ""https://gizmodo.com/cnn-nfts-vault-1849642160""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/cnn-vault_300.webp,https://www.web3isgoinggreat.com/?id=cnn-accused-of-rug-pull-after-ditching-their-vault-nft-project,2026-07-23 05:39:08
2021-12-02,"CODEX, a decentralized publishing platform, aims to artificially constrain access to books",Bad idea,,Flow,[],,"A platform called ""CODEX"" announced that they intend to ""upgrade the digital book market industry to Web3"". This, apparently, involves artificially limiting the number of copies of books that can be distributed, using technology that is definitely not just a worse version of DRM .","[""https://en.wikipedia.org/wiki/Digital_rights_management"", ""https://twitter.com/BadWritingTakes/status/1467502961727348741"", ""https://twitter.com/film_girl/status/1467214953794834433""]",,https://www.web3isgoinggreat.com/?id=codex,2026-07-23 05:39:08
