date,title,theme_tags,type_of_malicious_activity,blockchain,tech,description,links,image_link,article_url,extraction_timestamp
2025-10-10,Hyperliquid user loses $21 million to private key leak,Hack or scam,Private Key/Wallet Compromise,Hyperliquid,,"An attacker apparently obtained access to a victim's private key , enabling them to drain $21 million in various crypto assets. The attacker quickly bridged the stolen funds to ETH, then bounced through various addresses in hopes of disguising their origin and making the funds more challenging to recover. Some originally feared that the theft was enabled by an exploit on Hyperliquid itself, shortly after another Hyperliquid-based project was compromised , but the theft appears to have been a key leak rather than an exploit on the protocol.","[""https://decrypt.co/343849/hyperliquid-user-loses-21-million-private-key-compromise"", ""https://web.archive.org/web/20251014231401/https://decrypt.co/343849/hyperliquid-user-loses-21-million-private-key-compromise"", ""https://www.web3isgoinggreat.com/?id=hyperdrive-exploit""]",,https://www.web3isgoinggreat.com/?id=0x0cdc-theft,2026-06-21 01:34:17
2025-09-27,"Hyperdrive lending protocol exploited for $782,000",Hack or scam,Smart Contract Exploit,Hyperliquid,lending,"Exploiters drained $782,000 in crypto assets from two markets on the Hyperdrive lending protocol, which is built on the Hyperliquid layer-1 blockchain. The attacker apparently took advantage of a security flaw in one of the project's smart contracts to drain the funds. Hyperdrive paused all markets while investigating the vulnerability, and patched the bug. They also compensated those who had lost money in the exploit.","[""https://www.theblock.co/post/372662/hyperliquid-based-hyperdrive-loses-782000-after-smart-contract-exploit"", ""https://x.com/hyperdrivedefi/status/1972189259504537624""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/hyperdrive_300.webp,https://www.web3isgoinggreat.com/?id=hyperdrive-exploit,2026-06-21 01:34:17
2025-09-26,Hypervault rug pulls for $3.6 million,Rug pull,Rug Pull,Hyperliquid,DeFi,"Only days after the Hypervault yield farming platform announced on Twitter that they'd surpassed $5 million in total value locked , the platform suddenly shut down its website and social media accounts. Simultaneously, the crypto security firm PeckShield observed an ""abnormal withdrawal"" of a large quantity of various crypto assets priced at around $3.6 million, which were swapped to 752 ETH (~$3.1 million) and laundered through Tornado Cash. The project had attracted customers by advertising yields of 76–95%.","[""https://twitter.com/web3isgreat/status/1973111916336697759"", ""https://decrypt.co/341539/3-6m-drained-from-hyperliquid-defi-platform-hypervault-in-abnormal-withdrawal"", ""https://web.archive.org/web/20250926191608/https://decrypt.co/341539/3-6m-drained-from-hyperliquid-defi-platform-hypervault-in-abnormal-withdrawal""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/hypervault_300.webp,https://www.web3isgoinggreat.com/?id=hypervault-rug-pull,2026-06-21 01:34:17
2025-03-27,HyperLiquid loses $13.5 million in alleged JELLYJELLY manipulation incident,Hmm,,Hyperliquid,DeFi,"HyperLiquid's Hyperliquidity Provider market making vault suffered a $13.5 million loss after an alleged market manipulation incident involving a memecoin called JELLYJELLY. A trader holding nearly $5 million (notional) of the token used a combination of shorts and spot purchases to force HyperLiquid to take on the short position. By forcing the token price up with large spot purchases, HLP suffered an unrealized loss of $13.5 million. HyperLiquid validators voted to delist the JELLY token. They also evidently overrode the JELLY price provided by the market oracle in an attempt to reduce their losses, leading an unrelated crypto executive to question ""Is that even legal?""","[""https://twitter.com/web3isgreat/status/1905632609528426762"", ""https://www.theblock.co/post/348314/hyperliquid-delists-jellyjelly-memecoin-amid-whale-manipulation-fiasco"", ""https://www.coindesk.com/markets/2025/03/26/hyperliquid-delists-jellyjelly-after-vault-squeezed-in-usd13m-tussle"", ""https://web.archive.org/web/20250328144536/https://www.coindesk.com/markets/2025/03/26/hyperliquid-delists-jellyjelly-after-vault-squeezed-in-usd13m-tussle""]",https://primary-cdn.web3isgoinggreat.com/entryImages/logos/resized/hyperliquid_300.webp,https://www.web3isgoinggreat.com/?id=hyperliquid-manipulation,2026-06-21 01:34:17
